recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
american chop suey ii,0.5817744738827396,0.6324555320336759,0.4760952285695233,0.557150488348226,0.4551294949163998,0.5326036675302439,0.3847076812334269,0.7745966692414834,0.6172133998483675,0.3682390527904394,1.0488088481701516,0.21213203435596426,0.5773502691896257,0.816496580927726,0.9486832980505138,0.0,0.42720018726587655,0.7713624310270756
amish yumazuti,0.5038314736557788,0.5477225575051661,0.565685424949238,0.48904669170404036,0.35816995167896803,0.39115214431215894,0.3346640106136302,0.6708203932499369,0.3563483225498992,0.2638181191654584,0.3651483716701107,0.31464265445104544,0.5270462766947299,0.0,0.7416198487095663,0.0,0.37080992435478316,0.5766281297335398
amys garlic egg chicken,0.6621642835894568,0.8944271909999159,0.7788880963698616,0.8067424206853966,0.322490309931942,0.2863564212655271,0.282842712474619,0.8660254037844386,0.25197631533948484,0.38392707640904933,0.22360679774997896,0.5621387729022078,0.408248290463863,0.0,1.0,0.7071067811865476,0.35,0.324037034920393
angel hair pasta with garlic shrimp and broccoli,0.5533117079493675,0.7071067811865476,0.695221787153807,0.6889000895146795,0.35856858280031806,0.362859017617954,0.3687817782917155,0.697137002317335,0.3563483225498992,0.5707889277132134,0.6454972243679028,0.44158804331639234,0.4714045207910317,0.0,0.6708203932499369,0.0,0.32787192621510003,0.4387482193696061
angelas awesome enchiladas,0.7473028425354332,0.9486832980505138,0.648074069840786,0.8573214099741123,0.4105745103771404,0.4183300132670378,0.41952353926806063,0.9186947262284682,0.3563483225498992,0.5332916650389353,0.5627314338711378,0.7134423592694787,0.5270462766947299,0.0,0.9486832980505138,0.0,0.41231056256176607,0.5361902647381804
angelas easy breaded chicken,0.573786344583739,0.4472135954999579,0.47958315233127197,0.9363047936792093,0.3656696401320264,0.3966526608171605,0.340587727318528,0.8473488065725944,0.5039526306789697,0.18,0.22360679774997896,0.35496478698597694,0.4714045207910317,0.0,1.0954451150103321,0.7071067811865476,0.39370039370059057,0.43588989435406733
annas amazing easy pleasy meatballs over buttered noodles,0.6263447072560702,0.7416198487095663,0.7023769168568493,0.4962358310319802,0.36055512754639896,0.3582364210034113,0.282842712474619,0.7197221686178633,0.25197631533948484,0.2592296279363144,0.12909944487358055,0.3065941943351178,0.4714045207910317,0.0,0.4472135954999579,0.0,0.35,0.5024937810560445
apple pork chops,0.4187894642712677,0.31622776601683794,0.34641016151377546,0.362859017617954,0.3028436654683167,0.2463060426921489,0.282842712474619,0.5440588203494178,0.6900655593423543,0.09055385138137417,0.28867513459481287,0.1673320053068151,0.23570226039551584,0.0,0.5,0.0,0.20615528128088303,0.1414213562373095
apple stuffed chicken breast,0.28010986855435577,0.3872983346207417,0.39157800414902433,0.22360679774997896,0.23482516292522218,0.1278019300845388,0.1414213562373095,0.5477225575051661,0.25197631533948484,0.21633307652783937,0.22360679774997896,0.21213203435596426,0.23570226039551584,0.0,0.7071067811865476,0.0,0.2345207879911715,0.1414213562373095
army sos creamed ground beef,0.40761973229205445,0.5,0.42031734043061636,0.4645786621588784,0.29519969028245463,0.1683250823060346,0.08944271909999159,0.5709640969448079,0.3563483225498992,0.1865475810617763,0.0,0.3391164991562634,0.3333333333333333,0.0,0.5477225575051661,0.0,0.2345207879911715,0.21794494717703367
artichoke and sun dried tomato chicken,0.31622776601683794,0.22360679774997896,0.4760952285695233,0.6006940430313367,0.34226138716316973,0.19493588689617927,0.3687817782917155,0.7810249675906654,0.0,0.3563705936241092,0.5,0.1816590212458495,0.23570226039551584,0.0,0.9746794344808963,0.7071067811865476,0.33166247903553997,0.18708286933869708
artichoke chicken,0.7834833462468451,0.6324555320336759,0.565685424949238,0.7144345083117603,0.25467065566559266,0.21134489978863144,0.38987177379235854,0.8294576541331088,0.1781741612749496,0.33999999999999997,0.48304589153964794,0.42544094772365293,0.23570226039551584,0.0,0.9219544457292888,0.7071067811865476,0.2692582403567252,0.13228756555322954
asian beef skewers,0.2745625891934576,0.31622776601683794,0.28867513459481287,0.5816642788871715,0.2518502956690173,0.1494434118097326,0.1414213562373095,0.5422176684690383,0.3086066999241838,0.10295630140987,0.12909944487358055,0.1414213562373095,0.23570226039551584,0.0,0.5477225575051661,0.0,0.21794494717703367,0.16583123951776998
asian beef with snow peas,0.3922322702763681,0.3872983346207417,0.36055512754639896,0.544288526426931,0.31304951684997057,0.17981471945681568,0.2449489742783178,0.565685424949238,0.4364357804719847,0.11489125293076058,0.6582805886043833,0.18439088914585774,0.408248290463863,0.0,0.5477225575051661,0.0,0.282842712474619,0.23979157616563598
asian glazed chicken thighs,0.6816270128269453,0.5916079783099616,0.687992248018343,0.8784455968736292,0.3565709706956767,0.29776948578836393,0.17888543819998318,0.9011104260855048,0.8357108940373449,0.3124099870362662,0.25819888974716115,0.18973665961010278,0.408248290463863,0.0,0.9486832980505138,0.7071067811865476,0.3427827300200522,0.20615528128088303
authentic enchiladas verdes,0.6201736729460423,0.5916079783099616,0.5291502622129182,0.7483314773547883,0.4974219249576474,0.403732584763727,0.5727128425310541,0.8613942186943212,0.4714045207910317,0.5372150407425317,0.6191391873668903,0.5272570530585627,0.408248290463863,0.0,0.9746794344808963,0.7071067811865476,0.5454356057317857,0.3122498999199199
awesome baked sea scallops,0.6816270128269453,0.7745966692414834,0.43969686527576396,0.40977636177147486,0.34309515548064173,0.3151719107619417,0.34641016151377546,0.5513619500836089,0.3086066999241838,0.468187996428785,0.7187952884282609,0.32710854467592254,0.3333333333333333,0.0,0.5477225575051661,0.0,0.3807886552931954,0.37416573867739417
awesome grilled cheese sandwiches,0.4992301766027063,0.7071067811865476,0.37859388972001823,0.4800173607971556,0.15023790657297034,0.29268868558020256,0.21908902300206645,0.4669047011971501,0.25197631533948484,0.2973213749463701,0.0,0.5300943312279429,0.3333333333333333,0.0,0.4472135954999579,0.0,0.22360679774997896,0.3905124837953327
awesome honey pecan pork chops,0.6872464567443708,0.7416198487095663,0.5773502691896257,0.20615528128088303,0.4147288270665544,0.3178049716414141,0.20976176963403032,0.7823042886243179,0.7559289460184544,0.19493588689617927,0.12909944487358055,0.130384048104053,0.3333333333333333,0.816496580927726,0.8366600265340756,0.7071067811865476,0.32015621187164245,0.3122498999199199
awesome roast beef,0.497686957526825,0.5,0.541602560309064,0.523609269080167,0.37416573867739417,0.10488088481701516,0.0,0.8402380615040002,0.1781741612749496,0.05099019513592785,0.0,0.10488088481701516,0.408248290463863,0.0,0.7416198487095663,0.0,0.27386127875258304,0.18708286933869708
awesome slow cooker pot roast,0.6038339048243189,0.6708203932499369,0.6506407098647712,0.5159941860137573,0.46843203501529596,0.1278019300845388,0.06324555320336758,0.9549869109050658,0.1781741612749496,0.05477225575051661,0.0,0.1414213562373095,0.5270462766947299,0.0,0.9219544457292888,0.7071067811865476,0.3535533905932738,0.21213203435596426
baby back ribs,0.7585411098843723,0.8366600265340756,0.752772652709081,0.8182807179283484,0.4750939756661683,0.39029903065897226,0.17888543819998318,0.9295160030897801,1.023532631438318,0.2525866188063018,0.12909944487358055,0.2966479394838265,0.3333333333333333,0.816496580927726,0.9746794344808963,0.7071067811865476,0.3570714214271425,0.17320508075688773
bacon mushroom swiss meatloaf,0.9156754547663373,1.0488088481701516,0.7681145747868608,0.533463525775974,0.40355562548072954,0.19493588689617927,0.12649110640673517,0.8752142594816426,0.3086066999241838,0.2966479394838265,0.22360679774997896,0.5205766033928149,0.5270462766947299,0.0,0.9219544457292888,0.7071067811865476,0.3391164991562634,0.33541019662496846
bacon risotto,0.5751254043851922,0.7416198487095663,0.43204937989385733,0.7756717518813397,0.2255152829790985,0.49598387070548977,0.25298221281347033,0.5639148871948674,0.25197631533948484,0.27748873851023215,0.22360679774997896,0.28460498941515416,0.23570226039551584,0.0,0.4472135954999579,0.0,0.17320508075688773,0.13228756555322954
bacon roasted chicken,0.7016464154456233,0.7416198487095663,0.714142842854285,0.545053514192261,0.3942443042436649,0.08944271909999159,0.1673320053068151,0.9654014708917736,0.1781741612749496,0.8669486720677297,0.12909944487358055,0.19748417658131498,0.408248290463863,0.0,0.8944271909999159,0.7071067811865476,0.32787192621510003,0.19364916731037085
bacon roasted chicken with potatoes,0.6528046002854501,0.6324555320336759,0.7187952884282609,0.6370504951205465,0.5393117306874966,0.2863564212655271,0.39496835316262996,0.9818350166906862,0.25197631533948484,0.2664582518894845,0.6454972243679028,0.2664582518894845,0.4714045207910317,0.0,1.02469507659596,0.7071067811865476,0.42720018726587655,0.2958039891549808
bacon wrapped chicken,0.8831760866327847,0.8944271909999159,0.6757711644237764,0.6648934751772898,0.3714835124201342,0.17224014243685085,0.0,0.8449852069711044,0.25197631533948484,0.3733630940518894,0.18257418583505536,0.29325756597230357,0.3333333333333333,0.0,1.02469507659596,0.7071067811865476,0.33541019662496846,0.18708286933869708
bacon wrapped hamburgers,0.5519197266046799,0.6324555320336759,0.5773502691896257,0.5923118547972287,0.3135055251278903,0.2851899951494325,0.2280350850198276,0.6942621983083913,0.25197631533948484,0.1944222209522358,0.12909944487358055,0.41231056256176607,0.408248290463863,0.0,0.7071067811865476,0.0,0.2692582403567252,0.3674234614174767
bacon wrapped pork medallions,0.6263447072560702,0.6708203932499369,0.6658328118479393,0.5660535899247232,0.4503966505838413,0.08944271909999159,0.1414213562373095,0.9197825830053535,0.1781741612749496,0.24289915602982237,0.12909944487358055,0.17320508075688773,0.3333333333333333,0.816496580927726,0.9746794344808963,0.7071067811865476,0.34641016151377546,0.07071067811865475
baingan bharta eggplant curry,0.35082320772281167,0.22360679774997896,0.08164965809277261,0.5549023938195498,0.3996426975615665,0.2250925735484551,0.4979959839195493,0.282842712474619,0.5039526306789697,0.34525353003264136,0.4472135954999579,0.30495901363953815,0.23570226039551584,0.0,0.31622776601683794,0.0,0.3082207001484488,0.3535533905932738
baked bar be que chicken,0.6644836051690528,0.6324555320336759,0.687992248018343,0.5887840577551898,0.3772077866186146,0.2786873995477131,0.1414213562373095,0.8402380615040002,0.7346308866924529,0.2870540018881465,0.25819888974716115,0.17029386365926402,0.3333333333333333,0.0,1.0,0.7071067811865476,0.3391164991562634,0.18027756377319948
