recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels
chicken pineapple fajitas,0.15384615384615385,0.1,0.22,0.29541666666666666,0.14514285714285713,0.15433333333333332,0.152,0.644,0.3809523809523809,0.319,0.9666666666666668,0.111,0.2222222222222222,0.0,1.1,0.5,0.1325,0.23,410,-0.2282537200000001,4.1263358676579855,0.769737112895124,3
chicken rolls,0.5892307692307692,0.85,0.26,0.5795833333333333,0.16028571428571428,0.15766666666666665,0.068,0.498,0.2222222222222222,0.1202,0.0,0.043,0.16666666666666666,0.0,0.35,0.0,0.0625,0.0925,662,-10.817028976,3.772843242289736,0.5796071341876071,3
chicken sauerkraut potato bake,0.1430769230769231,0.15,0.2833333333333333,0.51875,0.18771428571428567,0.04733333333333333,0.2,0.578,0.06349206349206349,0.026,0.4666666666666667,0.08900000000000001,0.2222222222222222,0.0,0.75,0.5,0.1325,0.1125,257,-1.1912373800000011,4.2939569370497015,0.9225848324488776,3
chicken spinach casserole,0.14615384615384616,0.2,0.10666666666666667,0.4295833333333333,0.16657142857142854,0.14833333333333334,0.228,0.28800000000000003,0.15873015873015872,1.735,0.06666666666666668,0.242,0.16666666666666666,0.0,0.2,0.0,0.16,0.2625,319,-3.5815889666666663,4.058290026583124,0.5686965401132327,3
chicken tartar burger,0.1646153846153846,0.1,0.23666666666666664,0.23291666666666666,0.11057142857142856,0.11599999999999999,0.1,0.63,0.06349206349206349,0.1078,0.4,0.108,0.16666666666666666,0.0,0.95,0.5,0.1075,0.1775,369,0.518033836,4.321500203358484,0.8145837748293332,3
chicken unitarian,0.2815384615384616,0.15,0.39,0.7929166666666667,0.11485714285714285,0.025333333333333333,0.016,0.924,0.12698412698412698,0.0072,0.0,0.036000000000000004,0.1111111111111111,0.0,1.15,0.5,0.1425,0.025,421,-1.4633402026666682,4.109817240334871,0.769821598364361,2
chicken wellington casserole,0.5215384615384615,0.8,0.4066666666666667,0.3358333333333333,0.09628571428571428,0.08299999999999999,0.02,0.634,0.15873015873015872,0.1488,0.016666666666666666,0.052000000000000005,0.16666666666666666,0.0,0.85,0.5,0.07,0.0375,541,-7.355443410666666,4.290803111123426,0.525421049865569,3
chicken with mustard sauce,0.4661538461538461,0.9,0.5,0.35375,0.128,0.06966666666666667,0.10400000000000001,0.602,0.09523809523809523,0.2272,0.4,0.065,0.1111111111111111,0.0,1.0,0.5,0.13,0.08,506,-8.130797302666666,3.9954783003890486,0.6347331996295801,3
chicken with pear sauce,0.2169230769230769,0.15,0.2466666666666667,0.25416666666666665,0.09428571428571428,0.05766666666666667,0.11199999999999999,0.5539999999999999,0.25396825396825395,0.0206,0.08333333333333333,0.025,0.05555555555555555,0.0,0.65,0.0,0.075,0.0325,308,-0.3103833946666673,4.1761059793334585,0.8038192761139137,3
chicken with pepper cheese sauce,0.25999999999999995,0.35,0.20333333333333334,0.07541666666666667,0.124,0.17166666666666666,0.12,0.564,0.15873015873015872,0.2156,0.4833333333333333,0.21600000000000005,0.16666666666666666,0.0,0.75,0.5,0.15,0.365,468,-1.8738106613333323,4.024083174827212,0.9520733051789,3
chicken with roasted red peppers,0.6353846153846153,0.45,0.2833333333333333,1.07625,0.08057142857142857,0.06333333333333334,0.027999999999999997,0.664,0.4126984126984127,0.9706,1.0333333333333334,0.251,0.1111111111111111,0.0,0.85,0.5,0.0825,0.015,579,-8.948951727999999,3.962622826675108,0.9938268861799262,2
chilean potato pie pastel de papas,0.3876923076923077,0.35,0.3033333333333333,0.041666666666666664,0.198,0.07233333333333332,0.128,0.282,0.09523809523809523,0.1016,0.45,0.035,0.1111111111111111,0.0,0.3,0.0,0.1,0.09,366,-3.026553174666666,3.8777830745628656,0.9159501274502714,3
chili and cheese stuffed chicken breasts,0.13692307692307693,0.25,0.39666666666666667,0.10125,0.12885714285714284,0.059,0.055999999999999994,0.718,0.06349206349206349,0.1076,0.5833333333333334,0.16399999999999998,0.16666666666666666,0.0,1.1,0.5,0.1575,0.135,297,0.9563103786666668,3.9003143175963295,0.6862069427567319,0
chinese pie,0.2015384615384616,0.2,0.17333333333333334,0.38666666666666666,0.24714285714285714,0.19066666666666668,0.188,0.406,0.2857142857142857,0.029,0.31666666666666665,0.053,0.1111111111111111,0.0,0.5,0.5,0.17,0.24,412,-3.4207248533333345,4.055455611796487,0.5868319655605014,3
chinese style ground pork and tofu,0.3276923076923077,0.3,0.16333333333333333,0.08375,0.13257142857142856,0.023666666666666662,0.10400000000000001,0.496,0.031746031746031744,0.0978,0.13333333333333333,0.494,0.16666666666666666,0.0,0.4,0.0,0.15,0.1175,313,-0.6876246973333335,4.047732983133355,0.7237636666766878,0
choctaw catfish,0.4153846153846154,0.3,0.2533333333333333,0.7266666666666667,0.158,0.13733333333333336,0.084,0.45,0.19047619047619047,0.026,0.03333333333333333,0.198,0.16666666666666666,0.0,0.4,0.0,0.13,0.2675,502,-6.499464213333334,3.874784097402914,0.8938687333664008,3
christys pork chops normandy,0.5615384615384615,1.0,0.4933333333333334,0.07166666666666667,0.204,0.07666666666666666,0.064,0.642,0.25396825396825395,0.17800000000000002,0.05,0.049,0.1111111111111111,0.6666666666666666,0.8,0.0,0.0975,0.105,634,-7.584584806666667,4.049312962227348,0.9590131087790379,2
chungles pasta,0.3292307692307692,0.3,0.09333333333333334,0.3258333333333333,0.09714285714285714,0.20766666666666667,0.14,0.36,0.12698412698412698,0.0792,0.08333333333333333,0.13,0.16666666666666666,0.6666666666666666,0.55,0.0,0.1325,0.475,517,-4.626298229333333,4.26987089270582,0.9172377300989368,3
cilantro garlic chicken,0.3461538461538461,0.3,0.2966666666666667,0.2975,0.1437142857142857,0.02733333333333333,0.07200000000000001,0.55,0.12698412698412698,0.5479999999999999,0.31666666666666665,0.05,0.1111111111111111,0.0,0.5,0.0,0.09,0.09,346,-2.058023573333333,4.38319322181991,0.6605806494786836,3
cinnamon apple and havarti tea sandwiches,0.2584615384615385,0.5,0.16333333333333333,0.12916666666666668,0.019428571428571427,0.06,0.06,0.16399999999999998,0.2857142857142857,0.076,0.016666666666666666,0.1,0.1111111111111111,0.0,0.05,0.0,0.0075,0.01,250,-5.068571213333333,3.803183835927404,0.8620044540329102,0
cissys shrimp penne,0.2876923076923077,0.5,0.7066666666666667,0.23,0.11714285714285715,0.16166666666666665,0.11599999999999999,0.6459999999999999,0.06349206349206349,0.2604,0.21666666666666667,0.198,0.3333333333333333,0.0,0.4,0.0,0.1825,0.3075,551,-4.128515218666665,4.043105745812337,0.7500161134280237,3
citrus chicken supper,0.1123076923076923,0.1,0.24,0.25625,0.07657142857142857,0.11599999999999999,0.04,0.58,0.3492063492063492,0.0058,0.016666666666666666,0.021,0.05555555555555555,0.0,0.85,0.5,0.0725,0.015,330,-0.0671339039999992,3.772843242289736,0.7113738618992421,3
